vtype,hypothesis,vaf_bin,threshold,n,all_agree,lo,hi,p_one_sided,supported,p_holm,supported_holm,run,flags,callerset,denom
pooled,H1,>=20%,0.8,149481,0.6557288217231622,0.6533162314514569,0.6581334081618364,1.0,False,1.0,False,IL_T_1,strict,shared3,union
pooled,H2,<5%,0.5,71755,0.000877987596683158,0.0006863635452992329,0.0011230505447429612,0.0,True,0.0,True,IL_T_1,strict,shared3,union
indel,H1,>=20%,0.8,19292,0.44832054737715116,0.4413137882277693,0.4553478834461298,1.0,False,1.0,False,NV_T_1,strict,shared3,union
indel,H2,<5%,0.5,22036,0.002359774913777455,0.001800096714472994,0.003092926632459217,0.0,True,0.0,True,NV_T_1,strict,shared3,union
snv,H1,>=20%,0.8,130856,0.7224735587210369,0.7200409226771166,0.7248931331105185,1.0,False,1.0,False,NV_T_1,strict,shared3,union
snv,H2,<5%,0.5,62330,0.0005775709931012354,0.000417244833736332,0.0007994531435702152,0.0,True,0.0,True,NV_T_1,strict,shared3,union
pooled,H1,>=20%,0.8,150148,0.6872485813996857,0.6848988049624749,0.6895887767660593,1.0,False,1.0,False,NV_T_1,strict,shared3,union
pooled,H2,<5%,0.5,84366,0.0010430742242135457,0.0008467969384062129,0.0012847877097464247,0.0,True,0.0,True,NV_T_1,strict,shared3,union
indel,H1,>=20%,0.8,23109,0.31152364879484185,0.3055843820354814,0.31752556679880334,1.0,False,1.0,False,FD_T_1,strict,shared3,union
indel,H2,<5%,0.5,11222,0.00044555337729459987,0.00019032831200115264,0.0010426713585775023,0.0,True,0.0,True,FD_T_1,strict,shared3,union
snv,H1,>=20%,0.8,129637,0.6231631401528884,0.6205216099244626,0.6257973713523077,1.0,False,1.0,False,FD_T_1,strict,shared3,union
snv,H2,<5%,0.5,28747,0.0005217935784603611,0.00031625196592218336,0.0008608078035862892,0.0,True,0.0,True,FD_T_1,strict,shared3,union
pooled,H1,>=20%,0.8,152746,0.5760150838647166,0.5735348944941258,0.5784914498753401,1.0,False,1.0,False,FD_T_1,strict,shared3,union
pooled,H2,<5%,0.5,39969,0.0005003878005454227,0.0003239616711586406,0.0007728194737559337,0.0,True,0.0,True,FD_T_1,strict,shared3,union
